service_id,date,exception_type
weekday,20170429,2
weekend,20170429,1
weekday,20170503,2
weekend,20170503,1
weekday,20170504,2
weekend,20170504,1
weekday,20170505,2
weekend,20170505,1
weekday,20170717,2
weekend,20170717,1
weekday,20170811,2
weekend,20170811,1
weekday,20170918,2
weekend,20170918,1
weekday,20170923,2
weekend,20170923,1
weekday,20171009,2
weekend,20171009,1
weekday,20171103,2
weekend,20171103,1
weekday,20171123,2
weekend,20171123,1
weekday,20171223,2
weekend,20171223,1
weekday,20180101,2
weekend,20180101,1
weekday,20180108,2
weekend,20180108,1
weekday,20180212,2
weekend,20180212,1
weekday,20180321,2
weekend,20180321,1
