fare_id,price,currency_type,payment_method,transfers,transfer_duration
k_160,160,JPY,0,0,
k_170,170,JPY,0,0,
k_190,190,JPY,0,0,
k_200,200,JPY,0,0,
k_210,210,JPY,0,0,
k_220,220,JPY,0,0,
k_230,230,JPY,0,0,
k_240,240,JPY,0,0,
k_250,250,JPY,0,0,
k_260,260,JPY,0,0,
k_270,270,JPY,0,0,
k_280,280,JPY,0,0,
k_290,290,JPY,0,0,
k_300,300,JPY,0,0,
k_310,310,JPY,0,0,
k_320,320,JPY,0,0,
k_330,330,JPY,0,0,
k_340,340,JPY,0,0,
k_350,350,JPY,0,0,
k_360,360,JPY,0,0,
k_370,370,JPY,0,0,
k_380,380,JPY,0,0,
k_390,390,JPY,0,0,
k_400,400,JPY,0,0,
k_410,410,JPY,0,0,
k_420,420,JPY,0,0,
k_430,430,JPY,0,0,
k_440,440,JPY,0,0,
k_450,450,JPY,0,0,
k_460,460,JPY,0,0,
k_470,470,JPY,0,0,
k_480,480,JPY,0,0,
k_490,490,JPY,0,0,
k_500,500,JPY,0,0,
k_510,510,JPY,0,0,
k_530,530,JPY,0,0,
k_550,550,JPY,0,0,
k_560,560,JPY,0,0,
k_570,570,JPY,0,0,
k_580,580,JPY,0,0,
k_590,590,JPY,0,0,
k_610,610,JPY,0,0,
k_620,620,JPY,0,0,
k_630,630,JPY,0,0,
k_640,640,JPY,0,0,
k_650,650,JPY,0,0,
